,Profile,Company,Location,Start Date,Duration,Stipend,Apply By
1,Power BI Dashboard Management,Hindustan Unilever Limited,Work From Home,Immediately,2 Months,25000/month,19 Jul' 20
2,Operations,Zoomcar India Private Limited,Bangalore,Immediately,6 Months,8000/month,11 Aug' 20
3,Teaching,Teach For India,Work From Home,Immediately,2 Months,Unpaid,11 Aug' 20
4,Content Writing,Times Network,Work From Home,Immediately,6 Months,5000/month,11 Aug' 20
5,Content Writing,Times Internet Limited,Mumbai,Immediately,6 Months,5000/month,10 Aug' 20
6,Business Development (Sales),LIC Of India,Work From Home,Immediately,3 Months,2000/month+Incentives,10 Aug' 20
7,Text Verification (Sanskrit),IIT Bombay,Work From Home,Immediately,6 Months,3000-5000/month,9 Aug' 20
8,Business Development (Sales),Outlook Magazine,Work From Home,Immediately,2 Months,2000/month,8 Aug' 20
9,Business Development (Sales),Ola Cabs,"Delhi, Gurgaon, Lucknow, Jaipur, Noida, Chandigarh, Kanpur Dehat",Immediately,3 Months,2000/month+Incentives,7 Aug' 20
10,Marketing,Aditya Birla Health Insurance Company Limited,Work From Home,Immediately,5 Months,12000/month,7 Aug' 20
11,Teaching,Teach For India,Work From Home,Immediately,2 Months,Unpaid,7 Aug' 20
12,Production (SpotboyE),9X Media Private Limited,Mumbai,Immediately,3 Months,5000/month,7 Aug' 20
13,Digital Marketing - SpotboyE (Gallery Creation),9X Media Private Limited,Mumbai,Immediately,3 Months,5000/month,7 Aug' 20
14,Social Media Marketing (SpotboyE - Instagram),9X Media Private Limited,Mumbai,Immediately,3 Months,5000/month,7 Aug' 20
15,Graphic Design,9X Media Private Limited,Mumbai,Immediately,3 Months,5000/month,7 Aug' 20
16,Online Sales,CaratLane Trading Private Limited,"Chennai, Mumbai",Immediately,3 Months,8000/month,6 Aug' 20
17,Data Analytics,Motilal Oswal,Work From Home,Immediately,3 Months,2000/month,6 Aug' 20
18,Stock Market Research,Motilal Oswal,Work From Home,Immediately,3 Months,2000/month,6 Aug' 20
19,Human Resources (HR),Myntra Jabong India Private Limited,Bangalore,Immediately,3 Months,5000-10000/month,6 Aug' 20
20,Teaching/Subject Matter Expert (Data Science Program),UpGrad,"Delhi, Pune, Saharanpur, Mumbai, Noida",Immediately,6 Months,15000-20000/month,6 Aug' 20
21,Marketing,Motilal Oswal,Work From Home,Immediately,3 Months,2000/month,5 Aug' 20
22,Business Development (Sales),Motilal Oswal,Work From Home,Immediately,3 Months,2000/month,5 Aug' 20
23,Content Writing (Basketball),Sportskeeda,Work From Home,Immediately,2 Months,10000/month,5 Aug' 20
